nr;RomName78;RomName;Game;Description
1613;gwingj;gigawingj;"Giga Wing (c) 1999 Capcom Company, Limited.
";"Medallions' are mystic stones sent from heaven, brought evolution to human technology and lead tremendous progress to the armories. To gain their powers which the 'Stones' hold for the promised victory, many nations fought over the mystic stones and reheated the world of war. Within all the 'Stones' is the 'Medallion of Wisdom', known as the power source of all mystic stones, it had enough energy to terminate humanity. The whole world was in despair. And now, four brave worriers have risen to fly straight into the combat zone! All four had different reasons, but their ultimate goal was the same : to destroy the Medallion of Wisdom! Fight to save the humanity!

Giga Wing is a shoot-em-up set during a fictional war. The player controls one of four different futuristic aircraft and must destroy enemy aircraft, tanks, ships, and buildings using both guns and missiles mounted on the aircraft and a limited supply of bombs which damage or destroy all enemies on-screen when used."
1614;gypsyjug;gypsyjug;"Gypsy Juggler (c) 1978 Meadows Games.
";In this game, the player juggles eggs to score points.
1615;gyrodine;gyrodinet;"Gyrodine (c) 1984 Taito Corp.
";"

"
1616;gyruss;gyruss;"Gyruss (c) 1983 Konami Industry Company, Limited.
";"Gyruss is a single-player shoot-em-up in which the purpose is to fly through the solar system, destroying waves of alien attackers, before finally reaching Earth. Planets that must be passed before Earth is reached are Neptune, Uranus, Saturn, Jupiter, and Mars. 

It only takes two warps to reach Neptune, but all of the others, including Earth, take three warps to get to. Each time the player reaches a planet, they will be faced with a 'Chance Stage', a bonus stage in which players try to destroy as many aliens as possible to accrue points. After reaching Earth, there is a Chance Stage, followed by a very fast '3 Warps to Neptune' stage. After this, the levels and the background music start over. 

Gyruss' superb gameplay, in which the player ship rotates around the edges of the screen and fires 'inwards', is heavily influenced by Atari's 1981 classic, ""Tempest"". While the design of the alien ships themselves is similar to those of Namco's also-legendary ""Galaga"" series."
1617;gyrussce;gyrussce;"Gyruss (c) 1983 Centuri, Incorporated.
";"For more information about the game, please see the original Konami entry.

- TRIVIA -

Gyruss was manufactured and released in April 1983 in the USA by Centuri under license from Konami."
1618;hachamf;hachamf;"Hacha Mecha Fighter (c) 1991 NMK.
";A cutesy horizontal scrolling shooter from NMK.
1619;hachoo;hachoo;"Hachoo! (c) 1989 Jaleco.
";A side-scrolling beat-em-up from Jaleco.
1620;hal21;hal21;"HAL 21 (c) 1985 SNK.
";A vertically scrolling shoot 'em up from SNK.
1621;hal21j;hal21j;"HAL 21 (c) 1985 SNK.
";A vertically scrolling shoot 'em up from SNK.
1622;halleycj;halleycj;"Halley's Comet (c) 1986 Taito.
";A space-shooter. Protect the earth from falling comets and asteroids.
1623;halleys;halleys;"Halley's Comet (c) 1986 Coin-It Co.
";"Conversion kit sold by Coin-It in the USA under license from Taito. For more information about the game itself, please see the original Taito version entry.

- TRIVIA -

Released in January 1986 in the USA."
1624;halleysc;halleysc;"Halley's Comet (c) 1986 Taito.
";A space-shooter. Protect the earth from falling comets and asteroids.
1625;hanaawas;hanaawas;"Hana Awase (c) 1982 Seta Kikaku.
";A hanafuda card game!
1626;hanagumi;hanagumi;;
1627;hanakanz;hanakanz;"Hana Kanzashi (c) 1996 Dynax.
";A hanafuda card game.
1628;hanamai;hanamai;"Hana no Mai (c) 1988 Dynax.
";A hanafuda game with a time-travelling theme.
1629;hanamomo;hanamomo;"Mahjong Shikaku Gaiden - Hana no Momoko-gumi (c) 1988 Nichibutsu.
";A mahjong game with lots of girls to choose from!
1630;hanaoji;hanaoji;"Hana to Ojisan (c) 1991 Nichibutsu.
";A hanafuda game with the obligatory nude woman as prize.
1631;hanaroku;hanaroku;"Hanaroku (c) 1988 Alba.
";A hanafuda game.
1632;hangly;hangly;"Hangly Man (c) 1981 Nittoh.
";"

"
1633;hangly2;hangly2;"Hangly Man (c) 1981 Nittoh.
";"

"
1634;hangly3;hangly3;"Hangly Man (c) 1981 Nittoh.
";"

"
1635;hangon;hangon;"Hang-On (c) 1985 Sega.
";"Hang-On is a superb point-to-point sprite scaling racing game in which the player takes control of a superbike and must race over five twisting circuits, avoiding rival bikers and trying to reach the end of each stage before the time limit expires.

Hang-On's handling and superb graphics were unlike anything seen before in the arcades and, like many Yu Suzuki games that followed, revolutionised the racing genre.

The 5 stages of 'Hang-On' are : 
Alps
Seaside
Grand Canyon
City Night
Circuit"
1636;hangonjr;hangonjr;"Hang-On Jr. (c) 1985 Sega.
";"A cut-down version of its legendary parent, 'Hang-On Jr' features similar gameplay to ""Hang-On"", but is rendered in more primitive graphics due to the vastly inferior host hardware."
1637;harddrb5;harddrivb5;"Hard Drivin' (c) 1988 Atari Games.
";"Slide into the contoured seat and adjust it to fit the length of your arms and legs. Put your feet on gas and clutch pedals and try the stick shift. Select manual or automatic transmission, turn the ignition key and you're off!

It’s the ride of your life. You feel the tires grip the road when you take a wide turn at high speed. You're alerted to the smallest change in the road by the feedback steering. You catch air as you fly the draw bridge and land on the down ramp. You control the car as it holds the road on the dizzying vertical loop.

Hard Drivin' might look like an arcade game but it drives like a real car. For the best lap times, drive Hard Drivin' as if it were a real car. The main difference between Hard Drivin' and a real car is that Hard Drivin' is much safer to drive. A player can test the limits of the car and his skill with no risk of personal injury, and follow a course that does not exist anywhere in the real world.

After inserting the proper number of coins to start the simulator, the player can select either an automatic or manual transmission. Turning the ignition key starts the simulator.

Drivers can choose between the stunt track or the speed track by following the posted signs on the road. Each player has a certain (operator-selectable) amount of time to reach a checkpoint or the finish line. Crossing checkpoints and the finish line rewards the player with (operator-selectable) bonus driving time.

With Hard Drivin' a player can test drive a high-powered sports car on a real stunt course. He can jump a draw bridge, negotiate a high-speed banked turn and drive a 360-degree vertical loop. These thrilling stunts, among others, provide the ultimate realistic driving experience.

Or maybe high-speed driving is a particular player's type of excitement. He can 'put the pedal to the metal' and try to keep control around the corners, weaving in and out of traffic while avoiding oncoming cars. All this, and more, await the player behind the wheel of Hard Drivin'.

Players especially enjoy the unique instant replay feature on Hard Drivin'.  Every time a player crashes, the simulator records and replays the crash sequence. Not only will the player find this entertaining, but it is also informative. The instant replay shows the player exactly what he did wrong and why he crashed (If a player wants to skip the instant replay, he can press the abort switch or turn the key when the replay starts).

A skilled player finds the ultimate competition in the 'challenge' lap (or 'grudge match' as Atari Games likes to call it). The simulator remembers the path of the car driven by the best driver on record.  When a player beats the qualifying lap time, he challenges the car of the past winner in a head-to-head race."
1638;harddrb6;harddrivb6;"Hard Drivin' (c) 1988 Atari Games.
";"Slide into the contoured seat and adjust it to fit the length of your arms and legs. Put your feet on gas and clutch pedals and try the stick shift. Select manual or automatic transmission, turn the ignition key and you're off!

It’s the ride of your life. You feel the tires grip the road when you take a wide turn at high speed. You're alerted to the smallest change in the road by the feedback steering. You catch air as you fly the draw bridge and land on the down ramp. You control the car as it holds the road on the dizzying vertical loop.

Hard Drivin' might look like an arcade game but it drives like a real car. For the best lap times, drive Hard Drivin' as if it were a real car. The main difference between Hard Drivin' and a real car is that Hard Drivin' is much safer to drive. A player can test the limits of the car and his skill with no risk of personal injury, and follow a course that does not exist anywhere in the real world.

After inserting the proper number of coins to start the simulator, the player can select either an automatic or manual transmission. Turning the ignition key starts the simulator.

Drivers can choose between the stunt track or the speed track by following the posted signs on the road. Each player has a certain (operator-selectable) amount of time to reach a checkpoint or the finish line. Crossing checkpoints and the finish line rewards the player with (operator-selectable) bonus driving time.

With Hard Drivin' a player can test drive a high-powered sports car on a real stunt course. He can jump a draw bridge, negotiate a high-speed banked turn and drive a 360-degree vertical loop. These thrilling stunts, among others, provide the ultimate realistic driving experience.

Or maybe high-speed driving is a particular player's type of excitement. He can 'put the pedal to the metal' and try to keep control around the corners, weaving in and out of traffic while avoiding oncoming cars. All this, and more, await the player behind the wheel of Hard Drivin'.

Players especially enjoy the unique instant replay feature on Hard Drivin'.  Every time a player crashes, the simulator records and replays the crash sequence. Not only will the player find this entertaining, but it is also informative. The instant replay shows the player exactly what he did wrong and why he crashed (If a player wants to skip the instant replay, he can press the abort switch or turn the key when the replay starts).

A skilled player finds the ultimate competition in the 'challenge' lap (or 'grudge match' as Atari Games likes to call it). The simulator remembers the path of the car driven by the best driver on record.  When a player beats the qualifying lap time, he challenges the car of the past winner in a head-to-head race."
